,graphFlag,deviation,size,duration
759,0.0,5.0,7.0,1895.000000000029
773,0.0,5.0,7.0,1762.0
791,0.0,5.0,7.0,2798.059000000037
798,0.0,5.0,7.0,3405.0070000000123
812,0.0,5.0,7.0,2864.329000000085
814,0.0,5.0,7.0,3441.5259999999253
821,0.0,5.0,7.0,4945.178000000073
850,0.0,5.0,7.0,3488.846999995061
858,0.0,5.0,7.0,4564.354999997275
863,0.0,5.0,7.0,2250.7539999935543
885,0.0,5.0,7.0,2452.3520000055432
896,0.0,5.0,7.0,2103.3340000010794
915,0.0,5.0,7.0,2063.0
917,0.0,5.0,7.0,2086.0
935,0.0,5.0,7.0,3654.0
949,0.0,5.0,7.0,3422.0
955,0.0,5.0,7.0,4389.0
972,0.0,5.0,7.0,2136.4830000106303
985,0.0,5.0,7.0,3045.6310000248777
994,0.0,5.0,7.0,1775.7480000174255
1016,0.0,5.0,7.0,2711.563000024995
1019,0.0,5.0,7.0,3161.2120000254363
1021,0.0,5.0,7.0,1964.032
1038,0.0,5.0,7.0,2292.425
1051,0.0,5.0,7.0,3866.014
1066,0.0,5.0,7.0,2171.855
1076,0.0,5.0,7.0,2134.051
